true_label_id,true_gloss,predicted_label_id,predicted_gloss,count
100,bird,296,duck,2
883,sweet,240,cute,2
905,thin,812,skinny,2
986,work,36,appointment,2
992,year,553,make,2
0,about,969,when,1
1,accept,106,blanket,1
2,accident,519,laugh,1
2,accident,969,when,1
8,after,273,discuss,1
9,afternoon,40,arm,1
11,age,631,old,1
12,ago,87,before,1
13,agree,248,decide,1
15,alarm,605,negative,1
16,all,87,before,1
934,turtle,496,island,1
18,allow,863,street,1
19,almost,284,double,1
20,alone,592,muscle,1
21,already,968,what,1
22,also,350,fancy,1
23,always,120,bowling,1
27,angel,98,big,1
28,angry,938,underwear,1
30,announce,363,finally,1
31,answer,425,group,1
32,any,853,stay,1
33,apartment,78,bathroom,1
34,appear,772,score,1
35,apple,53,aunt,1
35,apple,633,onion,1
36,appointment,8,after,1
36,appointment,394,function,1
37,approve,303,earn,1
38,area,761,same,1
39,argue,608,nervous,1
40,arm,685,power,1
41,army,155,cards,1
44,art,287,draw,1
4,actor,618,none,1
47,asl,604,need,1
48,attention,433,halloween,1
49,attitude,773,scotland,1
51,audience,952,walk,1
52,august,556,march,1
53,aunt,487,insurance,1
56,avoid,510,knife,1
58,awful,192,clear,1
59,awkward,22,also,1
61,back,443,head,1
62,backpack,199,cold,1
64,bad,757,russia,1
64,bad,983,woman,1
66,balance,125,brag,1
66,balance,944,vacation,1
67,bald,872,stupid,1
68,ball,581,more,1
69,balloon,349,family,1
70,banana,315,elevator,1
71,bar,6,adult,1
71,bar,247,deaf,1
72,barely,419,grandfather,1
73,bark,586,mountain,1
74,baseball,501,jesus,1
75,basement,220,copy,1
76,basketball,251,deer,1
77,bath,804,sign,1
78,bathroom,487,insurance,1
81,beautiful,898,thank you,1
82,because,202,comb,1
83,become,109,boat,1
84,bed,112,bored,1
84,bed,995,yesterday,1
85,bedroom,805,silent,1
87,before,601,near,1
87,before,652,past,1
89,behind,992,year,1
90,believe,975,wife,1
91,below,118,bottom,1
92,belt,938,underwear,1
94,best,639,other,1
95,bet,293,drop,1
96,better,670,pizza,1
97,bicycle,919,tomato,1
98,big,206,compare,1
99,biology,712,push,1
102,bite,68,ball,1
103,bitter,873,sugar,1
104,black,82,because,1
104,black,875,summer,1
105,blame,244,daughter,1
106,blanket,742,retire,1
108,blue,974,why,1
109,boat,375,follow,1
111,book,374,fold,1
112,bored,53,aunt,1
113,borrow,956,warn,1
114,boss,66,balance,1
115,both,467,how,1
116,bother,426,grow,1
117,bottle,140,buy,1
119,bowl,259,describe,1
120,bowling,495,invite,1
120,bowling,813,skirt,1
121,box,119,bowl,1
123,boyfriend,387,friend,1
124,bracelet,299,duty,1
125,brag,266,diaper,1
126,bread,764,save,1
128,bridge,55,autumn,1
129,bring,717,quick,1
130,brother,809,sister,1
131,brown,86,beer,1
132,brush,402,giraffe,1
133,build,468,humble,1
134,building,133,build,1
135,bus,33,apartment,1
137,busy,943,use,1
138,but,166,certificate,1
139,butter,960,weak,1
140,buy,611,new,1
142,cake,38,area,1
143,california,974,why,1
144,call,367,first,1
145,calm,718,quiet,1
146,camera,850,star,1
147,camp,896,tent,1
148,can,269,different,1
149,canada,428,guilty,1
150,cancel,223,correct,1
152,candy,218,cool,1
152,candy,633,onion,1
153,caption,635,operate,1
154,car,792,shirt,1
155,cards,756,run,1
157,careful,40,arm,1
158,carrot,78,bathroom,1
161,catch,401,get,1
162,cause,139,butter,1
164,center,843,spirit,1
165,cereal,221,corn,1
166,certificate,788,shape,1
167,chain,489,internet,1
169,challenge,397,game,1
170,champion,8,after,1
170,champion,359,feedback,1
171,chance,95,bet,1
172,change,263,destroy,1
172,change,272,disappear,1
173,character,11,age,1
174,chase,316,email,1
175,chat,166,certificate,1
177,cheat,55,autumn,1
177,cheat,268,dictionary,1
178,check,494,investigate,1
178,check,499,japan,1
179,cheese,768,school,1
180,chicken,358,feed,1
181,child,796,short,1
182,children,59,awkward,1
183,chocolate,36,appointment,1
